0,1,2,3,4,5,6
frame,frame_time,sum_time,frame_fps,avg_fps,num_detected_signs,detected_signs
43,0.0846781,6.2503751,11.8,6.9,4,['Max. 100km/h' 'Links vorbeifahren' 'Wildwechsel' 'Unebene Fahrbahn']
44,0.0867728,6.337147900000001,11.5,6.9,4,['Max. 50km/h' 'Max. 100km/h' 'Radfahrer' 'Arbeitsstelle']
45,0.0855979,6.4227458,11.7,7.0,4,['Max. 100km/h' 'Max. 100km/h' 'Unebene Fahrbahn' 'Radfahrer']
46,0.0871301,6.509875900000001,11.5,7.1,4,['Max. 100km/h' 'Schnee-/Eisglštte' 'Unebene Fahrbahn' 'Unebene Fahrbahn']
47,0.0931807,6.6030566,10.7,7.1,3,['Max. 50km/h' 'Unebene Fahrbahn' 'Rechts vorbeifahren']
48,0.1327803,6.735836900000001,7.5,7.1,2,['Max. 50km/h' 'Unebene Fahrbahn']
49,0.0846345,6.820471400000001,11.8,7.2,2,['Max. 100km/h' 'Unebene Fahrbahn']
50,0.0836055,6.904076900000001,12.0,7.2,2,['Rechts vorbeifahren' 'Fahrtrichtung rechts']
51,0.0487953,6.952872200000001,20.5,7.3,0,[]
52,0.049417,7.002289200000001,20.2,7.4,0,[]
53,0.0494825,7.051771700000001,20.2,7.5,0,[]
54,0.0505766,7.102348300000001,19.8,7.6,0,[]
55,0.049706,7.1520543000000005,20.1,7.7,0,[]
56,0.049784,7.2018383,20.1,7.8,0,[]
57,0.0501394,7.2519777,19.9,7.9,0,[]
58,0.0496396,7.3016173,20.1,7.9,0,[]
59,0.0494761,7.3510934,20.2,8.0,0,[]
60,0.0498677,7.4009611,20.1,8.1,0,[]
61,0.0492659,7.450227,20.3,8.2,0,[]
62,0.0497114,7.4999384,20.1,8.3,0,[]
63,0.0487477,7.548686099999999,20.5,8.3,0,[]
64,0.0485966,7.597282699999999,20.6,8.4,0,[]
65,0.0491844,7.646467099999999,20.3,8.5,0,[]
66,0.049272,7.695739099999999,20.3,8.6,0,[]
67,0.0495715,7.745310599999999,20.2,8.7,0,[]
68,0.0498182,7.795128799999999,20.1,8.7,0,[]
69,0.0500673,7.845196099999999,20.0,8.8,0,[]
70,0.0505154,7.895711499999999,19.8,8.9,0,[]
71,0.0500687,7.945780199999999,20.0,8.9,0,[]
72,0.0505005,7.996280699999999,19.8,9.0,0,[]
73,0.0497811,8.046061799999999,20.1,9.1,0,[]
74,0.0500846,8.096146399999999,20.0,9.1,0,[]
75,0.0504561,8.146602499999998,19.8,9.2,0,[]
76,0.0498793,8.196481799999999,20.0,9.3,0,[]
77,0.0497969,8.2462787,20.1,9.3,0,[]
78,0.0497835,8.2960622,20.1,9.4,0,[]
79,0.0485551,8.3446173,20.6,9.5,0,[]
80,0.0487518,8.3933691,20.5,9.5,0,[]
81,0.0490778,8.442446899999998,20.4,9.6,0,[]
82,0.0491711,8.491617999999999,20.3,9.7,0,[]
83,0.0497426,8.541360599999999,20.1,9.7,0,[]
84,0.0500325,8.5913931,20.0,9.8,0,[]
85,0.0502216,8.6416147,19.9,9.8,0,[]
86,0.0498101,8.6914248,20.1,9.9,0,[]
87,0.049837,8.7412618,20.1,10.0,0,[]
88,0.0504842,8.791746,19.8,10.0,0,[]
89,0.0498488,8.8415948,20.1,10.1,0,[]
90,0.050229,8.8918238,19.9,10.1,0,[]
91,0.0499524,8.9417762,20.0,10.2,0,[]
92,0.0500198,8.991795999999999,20.0,10.2,0,[]
93,0.0498457,9.0416417,20.1,10.3,0,[]
94,0.0503847,9.0920264,19.8,10.3,0,[]
95,0.048864,9.1408904,20.5,10.4,0,[]
96,0.0487109,9.1896013,20.5,10.4,0,[]
97,0.0491202,9.2387215,20.4,10.5,0,[]
98,0.1289854,9.3677069,7.8,10.5,1,['Verbot aller Fahrzeuge']
99,0.0494416,9.4171485,20.2,10.5,0,[]
100,0.0501444,9.4672929,19.9,10.6,0,[]
101,0.0497962,9.5170891,20.1,10.6,0,[]
102,0.0502282,9.5673173,19.9,10.7,0,[]
103,0.0501119,9.617429199999998,20.0,10.7,0,[]
104,0.050026,9.6674552,20.0,10.8,0,[]
105,0.0502176,9.717672799999999,19.9,10.8,0,[]
106,0.0498875,9.7675603,20.0,10.9,0,[]
107,0.0498358,9.8173961,20.1,10.9,0,[]
108,0.0499366,9.8673327,20.0,10.9,0,[]
109,0.084017,9.9513497,11.9,11.0,1,['Max. 80km/h']
110,0.0879653,10.039315,11.4,11.0,1,['Max. 80km/h']
111,0.0848843,10.1241993,11.8,11.0,1,['Max. 50km/h']
112,0.0860264,10.2102257,11.6,11.0,1,['Max. 80km/h']
113,0.0948668,10.3050925,10.5,11.0,1,['Max. 80km/h']
114,0.0847757,10.3898682,11.8,11.0,1,['Max. 80km/h']
115,0.0855677,10.4754359,11.7,11.0,1,['Max. 80km/h']
116,0.0863114,10.5617473,11.6,11.0,1,['Max. 80km/h']
117,0.0885219,10.6502692,11.3,11.0,1,['Max. 80km/h']
118,0.0871159,10.737385100000001,11.5,11.0,1,['Max. 80km/h']
119,0.0842455,10.8216306,11.9,11.0,1,['Max. 80km/h']
120,0.0864622,10.9080928,11.6,11.0,1,['Max. 80km/h']
121,0.0856193,10.9937121,11.7,11.0,1,['Max. 80km/h']
122,0.049335,11.043047099999999,20.3,11.0,0,[]
123,0.0866906,11.1297377,11.5,11.1,1,['Max. 120km/h']
124,0.0860906,11.2158283,11.6,11.1,1,['Max. 60km/h']
125,0.0885614,11.3043897,11.3,11.1,2,['Max. 100km/h' 'Ueberholverbot']
126,0.0870401,11.3914298,11.5,11.1,2,['Max. 100km/h' 'Max. 80km/h']
127,0.085717,11.4771468,11.7,11.1,2,['Max. 80km/h' 'Max. 80km/h']
128,0.0878521,11.564998899999999,11.4,11.1,2,['Max. 80km/h' 'Max. 50km/h']
129,0.0867857,11.6517846,11.5,11.1,2,['Max. 80km/h' 'Max. 50km/h']
130,0.0850044,11.736789,11.8,11.1,2,['Max. 80km/h' 'Kreisverkehr']
131,0.0847412,11.8215302,11.8,11.1,2,['Max. 80km/h' 'Max. 100km/h']
132,0.0883752,11.9099054,11.3,11.1,2,['Max. 80km/h' 'Max. 80km/h']
133,0.089115,11.9990204,11.2,11.1,2,['Max. 80km/h' 'Max. 60km/h']
134,0.085667,12.0846874,11.7,11.1,2,['Max. 80km/h' 'Max. 80km/h']
135,0.0956659,12.1803533,10.5,11.1,2,['Max. 100km/h' 'Max. 80km/h']
136,0.0861597,12.266513,11.6,11.1,2,['Max. 80km/h' 'Max. 100km/h']
137,0.0862048,12.3527178,11.6,11.1,2,['Max. 80km/h' 'Max. 100km/h']
138,0.0863103,12.4390281,11.6,11.1,2,['Max. 80km/h' 'Ueberholverbot']
139,0.0898198,12.5288479,11.1,11.1,2,['Ueberholverbot' 'Ueberholverbot']
140,0.0853493,12.614197200000001,11.7,11.1,2,['Max. 80km/h' 'Max. 80km/h']
141,0.0840604,12.698257600000002,11.9,11.1,2,['Max. 100km/h' 'Max. 80km/h']
142,0.0876865,12.785944100000002,11.4,11.1,2,['Max. 80km/h' 'Max. 80km/h']
143,0.0864573,12.872401400000001,11.6,11.1,2,['Fahrtrichtung geradeaus oder links' 'Max. 80km/h']
144,0.086286,12.9586874,11.6,11.1,2,['Max. 80km/h' 'Max. 60km/h']
145,0.0864902,13.0451776,11.6,11.1,2,['Max. 60km/h' 'Max. 60km/h']
146,0.088764,13.1339416,11.3,11.1,2,['Max. 60km/h' 'Max. 80km/h']
147,0.0860668,13.2200084,11.6,11.1,2,['Max. 80km/h' 'Max. 80km/h']
148,0.086972,13.306980399999999,11.5,11.1,2,['Max. 60km/h' 'Max. 80km/h']
149,0.1170411,13.424021499999998,8.5,11.1,2,['Max. 60km/h' 'Max. 80km/h']
150,0.0858456,13.5098671,11.6,11.1,2,['Max. 60km/h' 'Kinder']
151,0.0849171,13.5947842,11.8,11.1,1,['Max. 60km/h']
152,0.0839867,13.6787709,11.9,11.1,1,['Max. 100km/h']
153,0.0874504,13.7662213,11.4,11.1,1,['Max. 80km/h']
154,0.0853863,13.8516076,11.7,11.1,1,['Rutschgefahr']
155,0.0502744,13.901881999999999,19.9,11.1,0,[]
156,0.0504316,13.952313599999998,19.8,11.2,0,[]
157,0.0503697,14.002683299999998,19.9,11.2,0,[]
158,0.0503062,14.052989499999997,19.9,11.2,0,[]
159,0.0498504,14.102839899999998,20.1,11.3,0,[]
160,0.0500984,14.152938299999997,20.0,11.3,0,[]
161,0.0501561,14.203094399999998,19.9,11.3,0,[]
162,0.0511974,14.254291799999997,19.5,11.4,0,[]
163,0.0490255,14.303317299999998,20.4,11.4,0,[]
164,0.0490746,14.352391899999999,20.4,11.4,0,[]
165,0.049254,14.401645899999998,20.3,11.5,0,[]
